# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.951694751224e-01       1.506175062494e+02      -3.954585863184e+01      -8.917700439205e+02       3.188534739442e+02      -2.593936805725e+02      -6.203869305623e+02       4.395337496471e+02      -8.215743700078e+02       1.045710600648e+03 
       2.016961500120e-01       1.533923094741e+02      -3.998824968950e+01      -9.191036783026e+02       3.204162995846e+02      -2.598784678963e+02      -6.146916696398e+02       4.370272773912e+02      -8.086249776928e+02       9.929127759960e+02 
       2.084410845243e-01       1.604418252888e+02      -4.010952943937e+01      -9.466224336666e+02       3.216325890010e+02      -2.600883853024e+02      -6.084558592635e+02       4.340182311475e+02      -7.892667678309e+02       9.314528101875e+02 
       2.154115952973e-01       1.699468116324e+02      -4.001758748306e+01      -9.742905941323e+02       3.223353109708e+02      -2.598958441426e+02      -6.017146160976e+02       4.305369416937e+02      -7.660237635898e+02       8.659363817847e+02 
       2.226153063579e-01       1.791021768006e+02      -3.989013946003e+01      -1.002066920939e+03       3.224190074756e+02      -2.592215364434e+02      -5.945194698329e+02       4.266394997730e+02      -7.426222145016e+02       8.030936116359e+02 
       2.300602170409e-01       1.857684979961e+02      -3.987291637083e+01      -1.029910013049e+03       3.219331902563e+02      -2.581053305481e+02      -5.869230133009e+02       4.223895664722e+02      -7.217088907165e+02       7.478910930705e+02 
       2.377547812124e-01       1.888189717816e+02      -4.004949825863e+01      -1.057785061566e+03       3.209961514731e+02      -2.566404164739e+02      -5.789669288875e+02       4.178366134913e+02      -7.046136517955e+02       7.026806226192e+02 
       2.457079992353e-01       1.886747180392e+02      -4.040422638289e+01      -1.085668670059e+03       3.197765162056e+02      -2.549595799854e+02      -5.706717268890e+02       4.130007939505e+02      -6.907451715436e+02       6.659471627541e+02 
       2.539295244207e-01       1.871219039270e+02      -4.082659078351e+01      -1.113544054699e+03       3.183716260394e+02      -2.531444803061e+02      -5.620437446574e+02       4.078780604225e+02      -6.780609474477e+02       6.336794102257e+02 
       2.624297861319e-01       1.866749294998e+02      -4.115281182661e+01      -1.141398060112e+03       3.168048853048e+02      -2.512217168269e+02      -5.530821980824e+02       4.024501894607e+02      -6.637893588239e+02       6.006613112459e+02 
